Path,nodes,edges,colours,coloursPerNode,NewSpec2,OldSpec2,,SpecName,OldTimeOut,BothTimeOut,NewSpec,OldSpec
tests/n40e800c10cpn2.param,40,800,10,2,2.95,46.16,n40e800c10cpn2.param,n40e800c10cpn2,,,2.95,46.16
tests/n40e800c15cpn3.param,40,800,15,3,4.97,TO,n40e800c15cpn3.param,n40e800c15cpn3,300,,4.97,
tests/n40e800c20cpn4.param,40,800,20,4,4.85,TO,n40e800c20cpn4.param,n40e800c20cpn4,300,,4.85,
tests/n40e880c8cpn2.param,40,880,8,2,3.93,36.18,n40e880c8cpn2.param,n40e880c8cpn2,,,3.93,36.18
tests/n40e880c12cpn3.param,40,880,12,3,4.54,56.7,n40e880c12cpn3.param,n40e880c12cpn3,,,4.54,56.7
tests/n40e880c16cpn4.param,40,880,16,4,5.3,TO,n40e880c16cpn4.param,n40e880c16cpn4,300,,5.3,
tests/n40e880c10cpn2.param,40,880,10,2,2.94,43.93,n40e880c10cpn2.param,n40e880c10cpn2,,,2.94,43.93
tests/n40e880c15cpn3.param,40,880,15,3,3.59,TO,n40e880c15cpn3.param,n40e880c15cpn3,300,,3.59,
tests/n40e880c20cpn4.param,40,880,20,4,6.29,TO,n40e880c20cpn4.param,n40e880c20cpn4,300,,6.29,
tests/n40e960c8cpn2.param,40,960,8,2,3,37.08,n40e960c8cpn2.param,n40e960c8cpn2,,,3,37.08
tests/n40e960c12cpn3.param,40,960,12,3,3.44,54.67,n40e960c12cpn3.param,n40e960c12cpn3,,,3.44,54.67
tests/n40e960c16cpn4.param,40,960,16,4,4.04,TO,n40e960c16cpn4.param,n40e960c16cpn4,300,,4.04,
tests/n40e960c10cpn2.param,40,960,10,2,4.28,44.61,n40e960c10cpn2.param,n40e960c10cpn2,,,4.28,44.61
