SpecName,nodes,edges,colours,coloursPerNode,NewSpec,OldSpec
tests/n40e960c15cpn3.param,40,960,15,3,1.12,TO
tests/n40e960c20cpn4.param,40,960,20,4,1.23,TO
tests/n40e1040c8cpn2.param,40,1040,8,2,0.95,TO
tests/n40e1040c12cpn3.param,40,1040,12,3,1.1,TO
tests/n40e1040c16cpn4.param,40,1040,16,4,1.18,TO
tests/n40e1040c10cpn2.param,40,1040,10,2,0.89,TO
tests/n40e1040c15cpn3.param,40,1040,15,3,1.06,TO
tests/n40e1040c20cpn4.param,40,1040,20,4,1.25,TO
tests/n40e1120c8cpn2.param,40,1120,8,2,0.91,TO
tests/n40e1120c12cpn3.param,40,1120,12,3,1.62,TO
tests/n40e1120c16cpn4.param,40,1120,16,4,1.25,TO
tests/n40e1120c10cpn2.param,40,1120,10,2,0.96,TO
tests/n40e1120c15cpn3.param,40,1120,15,3,1.11,TO
tests/n40e1120c20cpn4.param,40,1120,20,4,1.24,TO
tests/n40e1200c8cpn2.param,40,1200,8,2,1.03,TO
tests/n40e1200c12cpn3.param,40,1200,12,3,1.16,TO
tests/n40e1200c16cpn4.param,40,1200,16,4,1.28,TO
tests/n40e1200c10cpn2.param,40,1200,10,2,0.95,TO
tests/n40e1200c15cpn3.param,40,1200,15,3,1.09,TO
tests/n40e1200c20cpn4.param,40,1200,20,4,1.17,TO
